Length error: 0.46291, Total energy: -1441.3645
Length error: 0.46154183, Total energy: -1441.2026
Length error: 0.46030822, Total energy: -1441.0587
Length error: 0.45924386, Total energy: -1440.9375
Length error: 0.45838213, Total energy: -1440.8433
Length error: 0.45774555, Total energy: -1440.779
Length error: 0.45734918, Total energy: -1440.7463
Length error: 0.45720237, Total energy: -1440.7466
Length error: 0.45730478, Total energy: -1440.7795
Length error: 0.4576496, Total energy: -1440.8444
Length error: 0.45821983, Total energy: -1440.9388
Length error: 0.4589945, Total energy: -1441.0604
Length error: 0.45994514, Total energy: -1441.205
Length error: 0.46103773, Total energy: -1441.3689
Length error: 0.46223468, Total energy: -1441.5466
Length error: 0.46349734, Total energy: -1441.7334
Length error: 0.46478412, Total energy: -1441.9235
Length error: 0.46605223, Total energy: -1442.1118
Length error: 0.46726295, Total energy: -1442.2922
Length error: 0.468377, Total energy: -1442.4602
Length error: 0.46936166, Total energy: -1442.6107
Length error: 0.47018546, Total energy: -1442.7397
Length error: 0.4708269, Total energy: -1442.844
Length error: 0.47126466, Total energy: -1442.921
Length error: 0.47149056, Total energy: -1442.9688
Length error: 0.47149813, Total energy: -1442.9873
Length error: 0.47129327, Total energy: -1442.9762
Length error: 0.47088128, Total energy: -1442.9374
Length error: 0.47028154, Total energy: -1442.8728
Length error: 0.4695142, Total energy: -1442.7855
Length error: 0.46860677, Total energy: -1442.6792
Length error: 0.46759063, Total energy: -1442.5586
Length error: 0.46649992, Total energy: -1442.4276
Length error: 0.46537018, Total energy: -1442.2916
Length error: 0.46423876, Total energy: -1442.1555
Length error: 0.4631399, Total energy: -1442.024
Length error: 0.46211016, Total energy: -1441.902
Length error: 0.46117914, Total energy: -1441.7932
Length error: 0.460378, Total energy: -1441.7017
Length error: 0.4597251, Total energy: -1441.63
Length error: 0.45924324, Total energy: -1441.5809
Length error: 0.45894182, Total energy: -1441.5558
Length error: 0.45882756, Total energy: -1441.5553
Length error: 0.45890212, Total energy: -1441.5796
Length error: 0.45915785, Total energy: -1441.628
Length error: 0.45958447, Total energy: -1441.699
Length error: 0.4601652, Total energy: -1441.79
Length error: 0.4608778, Total energy: -1441.8987
Length error: 0.4616984, Total energy: -1442.0219
Length error: 0.4625997, Total energy: -1442.1556
Length error: 0.4635474, Total energy: -1442.296
Length error: 0.4645167, Total energy: -1442.439
Length error: 0.4654706, Total energy: -1442.5804
Length error: 0.46638232, Total energy: -1442.7161
Length error: 0.46722168, Total energy: -1442.8422
Length error: 0.46796185, Total energy: -1442.9551
Length error: 0.4685825, Total energy: -1443.052
Length error: 0.469065, Total energy: -1443.13
Length error: 0.469397, Total energy: -1443.1877
Length error: 0.4695654, Total energy: -1443.2236
Length error: 0.46957296, Total energy: -1443.2372
Length error: 0.46941787, Total energy: -1443.2289
Length error: 0.46910888, Total energy: -1443.1996
Length error: 0.46865863, Total energy: -1443.1509
Length error: 0.4680813, Total energy: -1443.0854
Length error: 0.46739918, Total energy: -1443.0059
Length error: 0.46663588, Total energy: -1442.9153
Length error: 0.4658165, Total energy: -1442.8169
Length error: 0.46496817, Total energy: -1442.715
Length error: 0.46411645, Total energy: -1442.6125
Length error: 0.46329045, Total energy: -1442.5135
Length error: 0.46251616, Total energy: -1442.4219
Length error: 0.4618173, Total energy: -1442.3401
Length error: 0.46121365, Total energy: -1442.271
Length error: 0.46072388, Total energy: -1442.2169
Length error: 0.4603598, Total energy: -1442.1797
Length error: 0.4601337, Total energy: -1442.1606
Length error: 0.46004838, Total energy: -1442.1604
Length error: 0.4601034, Total energy: -1442.1786
Length error: 0.46029648, Total energy: -1442.2151
Length error: 0.46061745, Total energy: -1442.2684
Length error: 0.46105623, Total energy: -1442.337
Length error: 0.4615929, Total energy: -1442.4191
Length error: 0.4622109, Total energy: -1442.5118
Length error: 0.46288887, Total energy: -1442.6127
Length error: 0.46360415, Total energy: -1442.7184
Length error: 0.46433282, Total energy: -1442.826
Length error: 0.46505094, Total energy: -1442.9321
Length error: 0.46573526, Total energy: -1443.034
Length error: 0.46636626, Total energy: -1443.1287
Length error: 0.46692184, Total energy: -1443.2133
Length error: 0.46738696, Total energy: -1443.2856
Length error: 0.46774864, Total energy: -1443.3439
Length error: 0.46799433, Total energy: -1443.3867
Length error: 0.46812218, Total energy: -1443.4133
Length error: 0.4681245, Total energy: -1443.4233
Length error: 0.46800613, Total energy: -1443.4167
Length error: 0.46777207, Total energy: -1443.3945
Length error: 0.46743166, Total energy: -1443.358
Length error: 0.46699798, Total energy: -1443.3087
Length error: 0.46648443, Total energy: -1443.2488
Length error: 0.46590903, Total energy: -1443.1804
Length error: 0.46529308, Total energy: -1443.1067
Length error: 0.46465382, Total energy: -1443.0297
Length error: 0.46401453, Total energy: -1442.9529
Length error: 0.46339452, Total energy: -1442.8788
Length error: 0.4628138, Total energy: -1442.8098
Length error: 0.4622889, Total energy: -1442.7483
Length error: 0.4618357, Total energy: -1442.6965
Length error: 0.46146947, Total energy: -1442.6561
Length error: 0.46119815, Total energy: -1442.6282
Length error: 0.46102965, Total energy: -1442.614
Length error: 0.46096703, Total energy: -1442.614
Length error: 0.46101075, Total energy: -1442.628
Length error: 0.46115682, Total energy: -1442.6556
Length error: 0.46139956, Total energy: -1442.6959
Length error: 0.4617306, Total energy: -1442.7477
Length error: 0.46213454, Total energy: -1442.8097
Length error: 0.46260017, Total energy: -1442.8796
Length error: 0.46311045, Total energy: -1442.9556
Length error: 0.4636491, Total energy: -1443.035
Length error: 0.4641977, Total energy: -1443.1158
Length error: 0.4647377, Total energy: -1443.1958
Length error: 0.46525347, Total energy: -1443.2723
Length error: 0.4657271, Total energy: -1443.3434
Length error: 0.46614474, Total energy: -1443.4069
Length error: 0.46649358, Total energy: -1443.4609
Length error: 0.4667648, Total energy: -1443.5045
Length error: 0.4669473, Total energy: -1443.5364
Length error: 0.46704122, Total energy: -1443.5562
Length error: 0.4670418, Total energy: -1443.5631
Length error: 0.46694952, Total energy: -1443.5581
Length error: 0.46677116, Total energy: -1443.541
Length error: 0.46651274, Total energy: -1443.5133
Length error: 0.4661839, Total energy: -1443.476
Length error: 0.465797, Total energy: -1443.4305
Length error: 0.4653617, Total energy: -1443.379
Length error: 0.46489677, Total energy: -1443.3231
Length error: 0.46441573, Total energy: -1443.2654
Length error: 0.46393418, Total energy: -1443.2076
Length error: 0.46346766, Total energy: -1443.1519
Length error: 0.46303058, Total energy: -1443.0999
Length error: 0.46263707, Total energy: -1443.0536
Length error: 0.46229783, Total energy: -1443.0149
Length error: 0.46202385, Total energy: -1442.9846
Length error: 0.46182096, Total energy: -1442.964
