Length error: 0.03516707, Total energy: -1382.9183
Length error: 0.03521894, Total energy: -1382.9417
Length error: 0.035270855, Total energy: -1382.9651
Length error: 0.035320416, Total energy: -1382.9879
Length error: 0.035362467, Total energy: -1383.0101
Length error: 0.0353996, Total energy: -1383.0312
Length error: 0.035429716, Total energy: -1383.0514
Length error: 0.03545095, Total energy: -1383.07
Length error: 0.035461277, Total energy: -1383.0873
Length error: 0.03546329, Total energy: -1383.103
Length error: 0.035455897, Total energy: -1383.1176
Length error: 0.035440266, Total energy: -1383.1307
Length error: 0.035416797, Total energy: -1383.1425
Length error: 0.035385802, Total energy: -1383.1532
Length error: 0.035348907, Total energy: -1383.163
Length error: 0.03530684, Total energy: -1383.172
Length error: 0.035263434, Total energy: -1383.1803
Length error: 0.035217255, Total energy: -1383.1886
Length error: 0.035170987, Total energy: -1383.1963
Length error: 0.035128072, Total energy: -1383.2045
Length error: 0.03508994, Total energy: -1383.2129
Length error: 0.035054088, Total energy: -1383.2219
Length error: 0.035024837, Total energy: -1383.2316
Length error: 0.035002857, Total energy: -1383.242
Length error: 0.034989133, Total energy: -1383.2533
Length error: 0.03498146, Total energy: -1383.2656
Length error: 0.03498283, Total energy: -1383.2787
Length error: 0.03499101, Total energy: -1383.2928
Length error: 0.035008878, Total energy: -1383.3079
Length error: 0.035030648, Total energy: -1383.3237
Length error: 0.035060495, Total energy: -1383.3402
Length error: 0.03509316, Total energy: -1383.3569
Length error: 0.03512861, Total energy: -1383.3743
Length error: 0.035165638, Total energy: -1383.3916
Length error: 0.035205364, Total energy: -1383.4093
Length error: 0.035242617, Total energy: -1383.4263
Length error: 0.035277933, Total energy: -1383.4431
Length error: 0.035308987, Total energy: -1383.4592
Length error: 0.035336033, Total energy: -1383.4747
Length error: 0.035358027, Total energy: -1383.4893
Length error: 0.03537233, Total energy: -1383.503
Length error: 0.03538075, Total energy: -1383.5156
Length error: 0.03538212, Total energy: -1383.5273
Length error: 0.035376668, Total energy: -1383.5381
Length error: 0.035364106, Total energy: -1383.5476
Length error: 0.03534627, Total energy: -1383.5562
Length error: 0.03532201, Total energy: -1383.564
Length error: 0.03529547, Total energy: -1383.5712
Length error: 0.035264507, Total energy: -1383.5776
Length error: 0.035231322, Total energy: -1383.5839
Length error: 0.035197467, Total energy: -1383.59
Length error: 0.035164446, Total energy: -1383.5957
Length error: 0.035132766, Total energy: -1383.6016
Length error: 0.03510332, Total energy: -1383.6079
Length error: 0.035077453, Total energy: -1383.6146
Length error: 0.03505647, Total energy: -1383.6218
Length error: 0.035040304, Total energy: -1383.6296
Length error: 0.03502965, Total energy: -1383.6378
Length error: 0.035025164, Total energy: -1383.6472
Length error: 0.035027236, Total energy: -1383.657
Length error: 0.035032943, Total energy: -1383.6675
Length error: 0.035046637, Total energy: -1383.6785
Length error: 0.03506404, Total energy: -1383.6902
Length error: 0.03508553, Total energy: -1383.7024
Length error: 0.035111025, Total energy: -1383.7151
Length error: 0.035137862, Total energy: -1383.728
Length error: 0.03516504, Total energy: -1383.7407
Length error: 0.03519304, Total energy: -1383.7534
Length error: 0.035220563, Total energy: -1383.7662
Length error: 0.035246536, Total energy: -1383.7788
Length error: 0.03527096, Total energy: -1383.7905
Length error: 0.035289854, Total energy: -1383.8018
Length error: 0.035304412, Total energy: -1383.8125
Length error: 0.03531602, Total energy: -1383.8225
Length error: 0.035320833, Total energy: -1383.8318
Length error: 0.03532225, Total energy: -1383.8402
Length error: 0.035317704, Total energy: -1383.8483
Length error: 0.03530833, Total energy: -1383.855
Length error: 0.035293847, Total energy: -1383.8613
Length error: 0.035276994, Total energy: -1383.8672
Length error: 0.035254896, Total energy: -1383.8723
Length error: 0.035233065, Total energy: -1383.8772
Length error: 0.035208598, Total energy: -1383.8818
Length error: 0.035183802, Total energy: -1383.8861
Length error: 0.035158917, Total energy: -1383.8905
Length error: 0.035135344, Total energy: -1383.8951
Length error: 0.035113826, Total energy: -1383.8997
Length error: 0.035096347, Total energy: -1383.9045
Length error: 0.035081327, Total energy: -1383.9099
Length error: 0.035068557, Total energy: -1383.9154
Length error: 0.03506203, Total energy: -1383.9219
Length error: 0.035059154, Total energy: -1383.9288
Length error: 0.035060927, Total energy: -1383.9362
Length error: 0.035065904, Total energy: -1383.9438
Length error: 0.035074785, Total energy: -1383.9521
Length error: 0.035088524, Total energy: -1383.9608
Length error: 0.035104275, Total energy: -1383.9698
Length error: 0.035121977, Total energy: -1383.979
Length error: 0.035143346, Total energy: -1383.9886
Length error: 0.035163403, Total energy: -1383.9982
Length error: 0.03518498, Total energy: -1384.0077
Length error: 0.03520529, Total energy: -1384.0171
Length error: 0.03522487, Total energy: -1384.0261
Length error: 0.035241693, Total energy: -1384.0349
Length error: 0.03525579, Total energy: -1384.0431
Length error: 0.035267487, Total energy: -1384.0511
Length error: 0.03527397, Total energy: -1384.0586
Length error: 0.035276383, Total energy: -1384.0653
Length error: 0.03527665, Total energy: -1384.0714
